sample_name,shift,add,drop,file,trial,setname1,setname2,rep1,rep2,op1,op2,op1deg,op2deg
shift_drop6_1,0.8,0,0.2,BED2,1,shift+dropM,drop+shiftH,2,3,Shift,Drop,H,M
shift_drop7_1,0.2,0,0.3,BED2,1,shift+dropH,drop+shiftL,3,1,Shift,Drop,L,H
shift_drop8_1,0.5,0,0.3,BED2,1,shift+dropH,drop+shiftM,3,2,Shift,Drop,M,H
shift_drop9_1,0.8,0,0.3,BED2,1,shift+dropH,drop+shiftH,3,3,Shift,Drop,H,H
add_shift1_1,0.2,0.1,0,BED2,1,shift+addL,add+shiftL,1,1,Shift,Add,L,L
add_shift2_1,0.5,0.1,0,BED2,1,shift+addL,add+shiftM,1,2,Shift,Add,M,L
add_shift3_1,0.8,0.1,0,BED2,1,shift+addL,add+shiftH,1,3,Shift,Add,H,L
add_shift4_1,0.2,0.2,0,BED2,1,shift+addM,add+shiftL,2,1,Shift,Add,L,M
add_shift5_1,0.5,0.2,0,BED2,1,shift+addM,add+shiftM,2,2,Shift,Add,M,M
add_shift6_1,0.8,0.2,0,BED2,1,shift+addM,add+shiftH,2,3,Shift,Add,H,M
add_shift7_1,0.2,0.3,0,BED2,1,shift+addH,add+shiftL,3,1,Shift,Add,L,H
add_shift8_1,0.5,0.3,0,BED2,1,shift+addH,add+shiftM,3,2,Shift,Add,M,H
add_shift9_1,0.8,0.3,0,BED2,1,shift+addH,add+shiftH,3,3,Shift,Add,H,H
add1_2,0,0.1,0,BED3,2,add,,1,,Add,NA,L,NA
add2_2,0,0.2,0,BED3,2,add,,2,,Add,NA,M,NA
add3_2,0,0.3,0,BED3,2,add,,3,,Add,NA,H,NA
drop1_2,0,0,0.1,BED3,2,drop,,1,,Drop,NA,L,NA
drop2_2,0,0,0.2,BED3,2,drop,,2,,Drop,NA,M,NA
drop3_2,0,0,0.3,BED3,2,drop,,3,,Drop,NA,H,NA
shift1_2,0.2,0,0,BED3,2,shift,,1,,Shift,NA,L,NA
shift2_2,0.5,0,0,BED3,2,shift,,2,,Shift,NA,M,NA
shift3_2,0.8,0,0,BED3,2,shift,,3,,Shift,NA,H,NA
add_drop1_2,0,0.1,0.1,BED3,2,drop+addL,add+dropL,1,1,Add,Drop,L,L
add_drop2_2,0,0.1,0.2,BED3,2,drop+addL,add+dropM,2,1,Add,Drop,L,M
add_drop3_2,0,0.1,0.3,BED3,2,drop+addL,add+dropH,3,1,Add,Drop,L,H
add_drop4_2,0,0.2,0.1,BED3,2,drop+addM,add+dropL,1,2,Add,Drop,M,L
add_drop5_2,0,0.2,0.2,BED3,2,drop+addM,add+dropM,2,2,Add,Drop,M,M
add_drop6_2,0,0.2,0.3,BED3,2,drop+addM,add+dropH,3,2,Add,Drop,M,H
add_drop7_2,0,0.3,0.1,BED3,2,drop+addH,add+dropL,1,3,Add,Drop,H,L
add_drop8_2,0,0.3,0.2,BED3,2,drop+addH,add+dropM,2,3,Add,Drop,H,M
add_drop9_2,0,0.3,0.3,BED3,2,drop+addH,add+dropH,3,3,Add,Drop,H,H
shift_drop1_2,0.2,0,0.1,BED3,2,shift+dropL,drop+shiftL,1,1,Shift,Drop,L,L
shift_drop2_2,0.5,0,0.1,BED3,2,shift+dropL,drop+shiftM,1,2,Shift,Drop,M,L
shift_drop3_2,0.8,0,0.1,BED3,2,shift+dropL,drop+shiftH,1,3,Shift,Drop,H,L
shift_drop4_2,0.2,0,0.2,BED3,2,shift+dropM,drop+shiftL,2,1,Shift,Drop,L,M
shift_drop5_2,0.5,0,0.2,BED3,2,shift+dropM,drop+shiftM,2,2,Shift,Drop,M,M
shift_drop6_2,0.8,0,0.2,BED3,2,shift+dropM,drop+shiftH,2,3,Shift,Drop,H,M
shift_drop7_2,0.2,0,0.3,BED3,2,shift+dropH,drop+shiftL,3,1,Shift,Drop,L,H
shift_drop8_2,0.5,0,0.3,BED3,2,shift+dropH,drop+shiftM,3,2,Shift,Drop,M,H
shift_drop9_2,0.8,0,0.3,BED3,2,shift+dropH,drop+shiftH,3,3,Shift,Drop,H,H
add_shift1_2,0.2,0.1,0,BED3,2,shift+addL,add+shiftL,1,1,Shift,Add,L,L
add_shift2_2,0.5,0.1,0,BED3,2,shift+addL,add+shiftM,1,2,Shift,Add,M,L
add_shift3_2,0.8,0.1,0,BED3,2,shift+addL,add+shiftH,1,3,Shift,Add,H,L
add_shift4_2,0.2,0.2,0,BED3,2,shift+addM,add+shiftL,2,1,Shift,Add,L,M
add_shift5_2,0.5,0.2,0,BED3,2,shift+addM,add+shiftM,2,2,Shift,Add,M,M
add_shift6_2,0.8,0.2,0,BED3,2,shift+addM,add+shiftH,2,3,Shift,Add,H,M
add_shift7_2,0.2,0.3,0,BED3,2,shift+addH,add+shiftL,3,1,Shift,Add,L,H
add_shift8_2,0.5,0.3,0,BED3,2,shift+addH,add+shiftM,3,2,Shift,Add,M,H
add_shift9_2,0.8,0.3,0,BED3,2,shift+addH,add+shiftH,3,3,Shift,Add,H,H
